	title	category
46	Autor do voto que definiu vitória no impeachment fala em 'destino'	nation
47	Ex-deputada diz que PGR faz ilações para associá-la a Cunha	nation
48	Doria tem 2° dia de atos de ciclistas e dedica 'flores do mal' a Lula e Dilma	nation
49	Em ato da CUT, Dilma anunciará reajuste do IR e do Bolsa Família	nation
50	Senador do PSDB pede fim de inquérito no caso Lava Jato	nation
51	Maioria dos congressistas é a favor de voto obrigatório, diz Datafolha	nation
52	Polícia prende no interior de SP holandês foragido da Justiça peruana	nation
53	Juíza de caso tríplex relata preocupação com superexposição	nation
54	'Camaleão político', Moreira Franco é um dos nomes mais próximos a Temer	nation
55	Vice Michel Temer avalia promover reajuste no Bolsa Família	nation
56	Em carta a ministros, Palocci diz que essa 'é mais uma batalha a ser vencida'	nation
57	'Panelaço' fracassou e oposição pode ter financiado mobilização, diz PT	nation
58	Daniel Barbará (1947-2015) - Enxergou a publicidade como um negócio	nation
59	Trens da linha 10-turquesa voltam a circular normalmente em SP	nation
60	Estados lançam ações para reagir a surto de microcefalia	nation
61	Mulher de Moro diz que chorou ao ver marido homenageado em protestos	nation
62	Mortes: Compositor da canção do 'Vira vira vira virou'	nation
63	Senado adia novamente votação que pode reverter afastamento de Aécio	nation
64	Já detido no PR, delator da Lava Jato pode ser preso de novo no Maranhão	nation
65	EMTU altera itinerário de 12 linhas na zona oeste de SP a partir de sábado	nation
66	Cunha vai alterar ordem de chamada na votação do impeachment	nation
67	Mesmo de madrugada, motorista enfrenta lentidão na volta para SP	nation
68	Ex-procurador Miller teve vínculo com a Lava Jato renovado em janeiro	nation
69	Mortes: Do canto à psicanálise, acumulava vários talentos	nation
70	Movimentos de esquerda discordam sobre proposta de plebiscito	nation
71	Erramos: União deve indenizar fazendeiros em terras com índios, diz Justiça	nation
72	Criança é eletrocutada ao passar em roleta de estação de ônibus BRT no Rio	nation
73	Volume de cartas enviadas em 2014 é o menor em 15 anos	nation
74	Erramos: No Rio, menina de 12 anos é 9ª vítima de bala perdida em menos de dez dias	nation
75	Cardozo deve explicar encontros com advogados, decide Comissão de Ética	nation
76	Novo acidente com ônibus da empresa Colitur em Paraty causa duas mortes	nation
77	Câmara aprova projeto que libera publicidade em pontos de táxi	nation
78	Doria define 15 parques-modelos para início das concessões em São Paulo	nation
79	Uma semana após atropelar e matar operário, filho de Ivo Pitanguy é solto	nation
80	Deputados do PT cogitam fazer desfiliação coletiva	nation
81	Mãe de bebê baleado no Rio tem alta e encontra o filho pela primeira vez	nation
82	FAB irá analisar voz para detectar cansaço de piloto em acidente aéreo	nation
83	Detento é achado morto em rio após participar de fuga no interior de SP	nation
84	Ao TSE, Janot diz que acusações não justificam perda de mandato de Dilma	nation
85	Setores da indústria conseguem reduzir o consumo de água	nation
86	Alalaô: Fim de semana antes do Carnaval tem mais de 100 blocos nas ruas do Rio	nation
87	Mega-Sena acumula e pode pagar prêmio de R$ 9 mi na próxima quarta	nation
88	Promotoria acusa prefeitura e Estado de nomeações ilegais	nation
89	Nas redes sociais, PMDB faz contagem regressiva para saída de Dilma	nation
90	Jovem internada em SP morre após queda de monitor cardíaco na cabeça	nation
91	Em tom elogioso, diretora da OMS diz que Brasil faz 'o que pode' contra zika	nation
92	Eleitores voltam às urnas no AM para 2º turno da eleição para governador	nation
93	Brasil busca acordo para compra de caças	nation
94	Policiais civis de Pernambuco decidem entrar em greve	nation
95	Idoso morre durante assalto ao ver mulher ser espancada por bandidos	nation
96	Confissão de crime eleitoral foi infeliz, diz aliado de Renan ao STF	nation
97	Tucana retira apoio à escolhida por Temer para secretaria das Mulheres	nation
98	Tempestade de granizo amassa avião e piloto faz pouso de urgência	nation
99	Venda de doses de tequila por R$ 5 vira febre na região da rua Augusta, em SP	nation
100	Estatal precisava de oxigenação para sair das páginas policiais, diz Cunha	nation
101	Advogado Luiz Fachin diz que mulher evita julgar seus casos	nation
102	Plano de Alckmin para construção de moradia no centro de SP falha	nation
103	Após desbloqueio das contas do RS, servidores receberão parte dos salários	nation
104	Samarco fecha acordo para cuidar de animais vítimas de barragem	nation
105	Erramos: Painel: Para agitar protestos, PMDB e PSDB querem 'atração de peso' em CPI	nation
106	Ciclistas e pedestres puxam alta de mortes no trânsito na cidade de SP	nation
107	Entenda o que acontece quando um motorista é flagrado bêbado em SP	nation
108	Máfia da merenda em SP vai chegar a agentes públicos, afirma promotor	nation
109	JBS entregará 20 volumes com detalhes de delação	nation
110	Reforma política que Dilma sancionou prevê doação oculta de pessoa física	nation
111	Após megarroubos, Justiça vai quebrar armas estocadas para inibir crimes	nation
112	Motorista erra trajeto, tenta manobra e 'trava' ônibus em avenida de SP	nation
113	Michel Temer nega crise política e diz que continua na articulação	nation
114	Prefeito se consolida na liderança e deve disputar segundo turno no Recife	nation
115	Condenado por um dos maiores crimes ambientais no PA é preso em SP	nation
116	Chuvas colocam parte de São Paulo em estado de atenção para enchentes	nation
117	Seis detentos são mortos em presídio de Manaus; segurança é reforçada	nation
118	Mural: Sem água, CPTM fecha banheiros públicos de estações	nation
119	Quinto ato contra tarifa termina em correria, bombas e feridos em SP	nation
120	Direita pode tirar Dilma do cargo, mas não solucionará a crise, diz Mujica	nation
121	Alckmin diz ter conhecimento e vontade para ser presidenciável	nation
122	Assaltantes fazem roubo milionário em empresa de transporte de valores	nation
123	Mortes: Advogada dedicada, lutou pelo direito da mulher	nation
124	Câmara rejeita 'distritão' e 'distrital misto', pilares da reforma política	nation
125	Rodrigo Maia derrota Rosso e é eleito presidente da Câmara	nation
126	Rua no centro de SP reúne de mesquita a restaurantes peruano e colombiano	nation
127	Primeira advogada transexual a atuar no STF diz que é 'uma sobrevivente'	nation
128	Russomanno diz que maioria dos sem-teto com transtorno mental é violenta; especialista discorda	nation
129	Rede, grupo de Marina, admite ter que apoiar outros partidos em 2016	nation
130	Ministro da Educação segue afastado, mas garante presença em convocação	nation
131	Ministro da Casa Civil acusa Eduardo Cunha de manobras pró-impeachment	nation
132	Novo ministro das Cidades quer PPP para Minha Casa, Minha Vida	nation
133	Mortes: Dona de casa, costureira e ceramista	nation
134	Dilma mandou acelerar demarcações indígenas, diz ministro	nation
135	Opinião de Dilma 'não faz a menor diferença', diz Doria	nation
136	Ministros do STF negociam aumento do próprio salário	nation
137	Planalto demite aliados de 'traidores' para conter rebelião no Congresso	nation
138	Como Odebrecht, operador de Cabral usava apelidos em pagamentos	nation
139	Juiz critica nova Lei de Direito de Resposta	nation
140	Look, bandeiras, acessórios e mascotes são munição no maior ato antigoverno	nation
141	Gastos no início do mandato deixam em alerta governadores do RS e MG	nation
142	Advogado que relativizou crimes da ditadura volta ao governo de SP	nation
143	Denúncias contra Lula já deveriam ter sido esclarecidas há tempos, diz Garcia	nation
144	Relatório de comissão não pode ignorar política, diz responsável	nation
145	Mortes: Um médico estudioso e campeão de xadrez	nation
146	Moradora relata 'clarão' e barulho de 'bomba' em explosão de gás no Rio	nation
147	Ladrão devolve R$ 1.000 roubados no Réveillon de Copacabana: 'me perdoe'	nation
148	'Você não manda no Brasil', diz presidente da CUT a Eduardo Cunha	nation
149	'Deputado que apoia ladrão, 100 anos sem reeleição' é lema de ato em SP	nation
150	Procuradoria pede prisão de ex-vereador suspeito de pagar propina	nation
151	Doria negocia acordo com a Santa Casa em promessa do 'corujão da saúde'	nation
152	Senado rejeita criação de órgão para fiscalizar política fiscal do Executivo	nation
153	TRF mantém ou endurece penas dadas por Sergio Moro na Lava Jato	nation
154	OAB protocola pedido de impeachment de Temer na Câmara	nation
155	Mega-Sena pode pagar prêmio de R$ 3 milhões na noite deste sábado	nation
156	Em posse de Lula, Dilma critica Moro e diz que ação dele abre caminho para golpe	nation
157	Hiroshi Komori (1929-2015) - Japonês apaixonado pelo Brasil	nation
158	Demora de Dilma em indicação no STF é 'abusiva' e 'nefasta', dizem ministros	nation
159	Jobson é preso acusado de estuprar quatro menores	nation
160	Chuva diminui, mas deixa alagamento e hangar caído em Congonhas	nation
161	Passageiro é ferido por tiro dentro de ônibus na zona oeste do Rio	nation
162	Dirceu pediu que filha pequena não o visse preso	nation
163	Passe Livre diz que discussão sobre trajeto visa desviar foco dos protestos	nation
164	Aeronave faz pouso de emergência no RS e gera tensão entre passageiros	nation
165	Visita de vereador a escolas municipais provoca polêmica em São Paulo	nation
166	Alalaô: No blocos, mijões transformam muros e calçadas em banheiro ao ar livre	nation
167	Marina Silva diz que está pagando o preço por não apoiar o impeachment	nation
168	Com chuva, nível dos seis principais reservatórios de São Paulo sobe	nation
169	Atraso na votação de medidas do ajuste preocupa governo, diz Temer	nation
170	Criminosos estão por trás de invasões no país, diz ex-secretário de Haddad	nation
171	Surfista é assassinado durante ensaio de escola de samba em Itanhaém (SP)	nation
172	Maluf acusa governo de 'comprar' deputados do PP oferecendo cargos	nation
173	Divisão na cúpula do PMDB ajudou governo	nation
174	Mulheres fazem protesto em São Paulo contra estupro e violência de gênero	nation
175	SP vai trocar toda a iluminação pública por lâmpadas de LED em cinco anos	nation
176	Homem é internado em estado grave após cair do 2º andar de festa em SP	nation
177	Temporal deixa parte de região metropolitana sem luz no RS	nation
178	Novo em Folha: Folha seleciona jornalista para a coluna da Mônica Bérgamo	nation
179	Democracia: o lado certo da história	nation
180	Desarticulação chega ao Senado e alarma governo	nation
181	Mercadante propôs reduzir poder de vice	nation
182	Câmara de SP quer barrar proposta de Haddad para regulamentar Uber	nation
183	Rio comemora aniversário com bolo de 450 metros na rua da Carioca	nation
184	Dilma teme 'imprevisibilidade' de ações de Cunha para manter mandato	nation
185	Feriado prolongado suspende rodízio de carros e afeta Metrô e CPTM em SP	nation
186	Erramos: Investigação sobre parlamentares em cartel de trens é arquivada pelo STF	nation
187	Ação da Polícia Federal pode mudar relação entre Dilma e Lula	nation
188	Veja os lançamentos da área jurídica em destaque nesta semana	nation
189	Família de executivo coreano é sequestrada por falsos policiais em SP	nation
190	Ação do MPF pede que Odebrecht seja proibida de obter contratos públicos	nation
191	No Rio, polícia prende 4 em ação contra tráfico de adolescentes	nation
192	No interior, Alckmin volta a falar em água de reúso para indústria	nation
193	Contra terceirização, Lula confirma participação em 1º de maio da CUT	nation
194	Ônibus é atacado e incendiado dentro do campus da USP	nation
195	Na véspera do recesso, só 16 deputados aparecem no Congresso	nation
196	Prisão do chefe do tráfico no Alemão provoca tiroteio com policiais da UPP	nation
197	Em delação, Odebrecht revela estratégia para manter Lula influente	nation
198	Não há por que detalhar o número de policiais por delegacia, diz Alckmin	nation
199	Oposição usa em cartazes frase de despedida de Lula para Dilma	nation
200	Ciclistas 'driblam' bueiros e poças de água em ciclovias de Haddad	nation
201	Juiz fixa fiança de R$ 20 mil a mulher que causou acidente em templo	nation
202	Políticos não produzem soluções, só crises, diz novo presidente da OAB	nation
203	Por apoio a Lula, PT pode se aliar a algozes de Dilma	nation
204	Desfecho de indicação ao STF é menos célere do que em casos anteriores	nation
205	Filho de Pitanguy é condenado por atropelar e matar operário no Rio	nation
206	Apontado como lobista da máfia das merendas em SP diz ser inocente	nation
207	Rondônia sanciona lei que autoriza o abate de cerca de 5.000 búfalos	nation
208	Advogado diz que juiz 'induziu' depoimento para confirmar acusações	nation
209	'Sempre ganha o mais forte', diz filho de vítima após absolvições por cratera	nation
210	Polícia intima Odebrecht a dizer se pagou suborno	nation
211	Atingidos, tucanos já especulam queda de Temer e nome para eleição indireta	nation
212	Linha do metrô de SP vai atrasar em pelo menos um ano após rescisão	nation
213	Jean Wyllys e Bolsonaro trocam insultos e cusparadas em sessão	nation
214	CPI de Crimes Cibernéticos deve criar novos atritos entre governo e oposição	nation
215	Ricos ficam no Brasil, e aluguel de mansões encarece no litoral paulista	nation
216	Crianças terão 2ª dose da vacina da gripe garantida, dizem governos	nation
217	Veja os lançamentos da área jurídica em destaque nesta semana	nation
218	Maranhão terceiriza comando da Câmara e é cobrado a 'honrar as calças'	nation
219	Debate sobre impeachment reaviva diferenças no PSDB	nation
220	Cunha diz que Planalto tenta desviar a atenção do impeachment com buscas	nation
221	Justiça libera irmão de Dirceu e outros dois suspeitos	nation
222	'É um novo ano, um novo começo', diz Biden após encontro com Dilma	nation
223	Em áudio, assessor jurídico de Temer diz que decreto já tem 'coisa demais'	nation
224	Página de apoio a Dilma faz animação em que petista aparece pedalando	nation
225	Russomanno diz que Uber está ilegal e promete ajudar motoristas a processarem empresa	nation
226	Doeu, mas fomos coerentes, diz petista que votou por prisão de Delcídio	nation
227	Tribunal nega recurso e mantém Vaccari preso na Lava Jato	nation
228	Painel: PT escolhe Luiz Sérgio para relatoria da nova CPI da Petrobras	nation
229	Pezão sai em licença médica de uma semana	nation
230	Temer cumpriu decisões de Dilma ao fazer decretos, diz procurador do TCU	nation
231	Candidato dominicano diz que Santana mantém 'campanha suja'	nation
232	Proposta de fundo eleitoral cresce poder de caciques partidários	nation
233	Sem acordo, motoristas de ônibus retomam greve em Sorocaba, SP	nation
234	Acidente com ônibus de turismo mata cinco em Santa Catarina	nation
235	Libertado pelo Supremo, José Dirceu é ovacionado em congresso petista	nation
236	Mortes: Biomédico persistente e idealista	nation
237	Irregularidades devem levar TCU a rejeitar as contas do governo Dilma	nation
238	Para economistas ligados ao PSDB, erros são de quando PT impôs modelo	nation
239	Prazo para parcelar dívidas com a Prefeitura de São Paulo vai até dia 30	nation
240	Prefeito Geraldo Júlio, candidato à reeleição, vota na zona oeste do Recife	nation
241	Renan critica relação PT-PMDB e diz que Temer não errará com PSDB	nation
242	Maia nega adiamento e diz que caso de Eduardo Cunha será encerrado na 2ª	nation
243	No 'Rio 40 Graus' tiroteio é mais rotina do que a própria praia	nation
244	Mulher que estava no avião de Teori resistiu à queda, mas morreu afogada	nation
245	Planalto dá como certa derrota no TCU e vê risco real de perder apoio de Lula	nation
246	Roubos voltam a crescer após nove meses no Estado de São Paulo	nation
247	Dilma reúne Igualdade Racial e Mulheres sob Ministério da Cidadania	nation
248	PT e PC do B pedem à PF investigação sobre suspeitas contra FHC	nation
249	Temer restringe circulação de jornalistas no Palácio do Planalto	nation
250	Ministério lança estímulo a parto humanizado e amplia acesso ao DIU	nation
251	Durante fórum em Londres, Fernando Haddad diz que 'educação é motivação'	nation
252	Justiça Militar do ES ordena prisão de 4 policiais por participação em motim	nation
253	Popularidade levou Lula a se achar invulnerável, diz biógrafo britânico de petista	nation
254	Quadrilha explode e rouba carro-forte em rodovia no interior de São Paulo	nation
255	Procuradores da Lava Jato criticam ministros do TSE	nation
256	No Recife, Geraldo Julio tem 60% dos votos válidos e João Paulo, 40%, diz Datafolha	nation
257	'Dilma está vivendo o mesmo que FHC antes', afirma cientista política	nation
258	PM prende desempregado suspeito de atear fogo a ônibus em Osasco	nation
259	Governo tenta esvaziar reunião do PMDB que definirá desembarque	nation
260	Ex-capelão da PM é preso em São Paulo sob suspeita de desviar dinheiro	nation
261	Impeachment não é golpe, diz ex-ministro do STF Carlos Ayres Britto	nation
262	Mortes: Destacou-se nas transmissões de futebol na TV	nation
263	Centro-direita vive paradoxo com apoio potencial e suspeitas	nation
264	Forças Armadas devem seguir orientações de comissão, diz ministro	nation
265	PF cogitou fazer buscas na Câmara, mas foi barrada por procurador	nation
266	Metroviários aceitam proposta e desistem de greve em SP	nation
267	O golpe, na verdade, está só começando	nation
268	Em um ano na Presidência, Temer nunca visitou a região Norte, nem os Estados da Bahia e Minas	nation
269	Lei de Zoneamento só será votada no ano que vem, diz líder de Haddad	nation
270	Governo revê decreto de renegociação de dívidas com Estados e municípios	nation
271	Padilha diz que o PT está preparado 'para tudo', sobre depoimento de Lula	nation
272	Presença de líderes do MBL na Câmara às vésperas de votação gera confusão	nation
273	Juiz considera prisões ilegais e manda soltar estudantes detidos antes de ato	nation
274	Ex-delegado é escolhido relator de proposta que reduz maioridade penal	nation
275	Presos fazem rebelião com reféns em Londrina, no Paraná	nation
276	Justiça bloqueia bens do auditor fiscal mais rico de São Paulo	nation
277	Motociclista morre após entrar na contramão em avenida de São Carlos	nation
278	Marco das Três Fronteiras vai ser repaginado e terá área gastronômica	nation
279	Governador do RN diz que presídio em dunas é erro e prevê fechar Alcaçuz	nation
280	Corpo do ministro Teori é liberado pela perícia no Rio de Janeiro	nation
281	Biografia não autorizada tenta decifrar a personalidade de Marcelo Odebrecht	nation
282	Painel: Senadora consulta TSE para se desfilar do PSDB	nation
283	'Reféns' de tiroteio na Rocinha, jovens perdem vestibular e adiam sonho	nation
284	Comissão valida assinaturas e pacote anticorrupção deve voltar a tramitar	nation
285	Falso Papai Noel recebeu US$ 60 mil por helicóptero roubado em São Paulo	nation
286	No Paraguai, Temer diz que votos nulos e abstenções pressionam por reforma política	nation
287	Família real está disposta a cooperar em crise, diz trineto de dom Pedro 2º	nation
288	Criadores comemoram a liberação da vaquejada e dizem que 'céu é o limite'	nation
289	"Mineração abre cratera e cria 'bairros fantasmas"" em região de Minas"	nation
290	Senado não poderá reproduzir conteúdo da Folha em seu clipping	nation
291	Câmara aprova amarra ao TSE e exigência de impressão do voto	nation
292	PGR e PF discordam em acordos de delação de marqueteiros	nation
293	Empresa de Cunha fez operações suspeitas, diz Ministério Público	nation
294	Cabral pediu 'mensalão' para Andrade em seu 2º mandato, diz executivo	nation
295	'PT vem sendo destruído desde 2005', diz Lula em vídeo	nation
296	Câmara de São Paulo aprova projeto que cria empresa para privatizações	nation
297	Partidos derrotados na eleição para a prefeitura já indicam apoio a Doria	nation
298	Alckmin é hostilizado por estudantes na Faculdade de Direito da USP	nation
299	Servidores do Rio ocupam secretaria em protesto contra atraso de salários	nation
300	Juca Kfouri é xingado em casa por ser contra impeachment	nation
301	Parentes de entregador de pizza morto protestam e cobram investigação	nation
302	Punido por incitar violência policial vai investigar PMs suspeitos em SP	nation
303	Forte tempestade atinge Grande SP, e capital fica em estado de atenção	nation
304	Para procuradores, argumento do PT de perseguição na Lava Jato é delirante	nation
305	Dengue já atingiu 1 a cada 14 moradores de cidade em SP	nation
306	No Rio, obras sob suspeita de propina são 'legado maldito'	nation
307	Verba da Câmara abasteceu frota de carros de luxo de Eduardo Cunha	nation
308	Abandono marca antigas estações ferroviárias no interior de São Paulo	nation
309	Filme sobre a Lava Jato quer 'manter o debate ativo', diz diretor	nation
310	Mortes: Produtor gentil fazia os outros brilharem no palco	nation
311	Procurador diz que grampo mostra 'guerra desleal' contra Lava Jato	nation
312	Folha muda base de cálculo sobre Cantareira	nation
313	Para poupar Haddad, PT recua de apoio a multa para 'gastão' de água	nation
314	Artistas e ativistas fazem intervenções contra a redução da maioridade penal	nation
315	Origem de políticos brasileiros, Líbano tem rua com nome de Michel Temer	nation
316	Dilma Rousseff está há 100 dias sem líder no Senado	nation
317	PT silencia sobre prisão de Dirceu e nega ligação com esquema	nation
318	Vírus H1N1 pode estar mais invasivo, afirma secretário da Saúde David Uip	nation
319	Bahia afeta área rural para favorecer fornecimento de água em cidade	nation
320	Jornalista condenado a regime semiaberto está na cadeia há 47 dias	nation
321	MP arquiva ação de improbidade contra presidente da Câmara de SP	nation
322	Com Lula, Raúl Castro disse que Odebrecht era exemplo para Cuba	nation
323	Kassab nega articular criação de nova sigla, mas não descarta fusão com PSD	nation
324	Prefeito de Curitiba é internado novamente com coágulo no pulmão	nation
325	Entenda a judicialização da saúde e debate do STF sobre acesso a remédios	nation
326	Dilma sanciona novo Código de Processo Civil	nation
327	Mortes: Jornalista, foi de sonoplasta a apresentador	nation
328	Obesidade avança 60% em dez anos, mas número fica estável em 2016	nation
329	Alckmin diz que plano de contingência contra racionamento é 'papelório inútil'	nation
330	Processo deve consumir pelo menos 4 anos	nation
331	Tempo vira e surpreende paulistano; temperatura cai nos próximos dias	nation
332	Banqueiro André Esteves é transferido para presídio no Rio	nation
333	Alvos da Lava Jato participam de posse de Moraes no STF	nation
334	Juiz diz que venda de imóvel de prefeito eleito de BH foi simulada	nation
335	Matarazzo admite ser vice de Marta, mas negocia condições	nation
336	Senado promulga proposta que muda Constituição para permitir vaquejada	nation
337	H. Stern delata mais R$ 4 mi em joias compradas com propina por Cabral	nation
338	Tucanos divergem sobre lista fechada e reforma política	nation
339	Dez policiais são presos sob suspeita de assassinarem jovens no AM	nation
340	PT tenta conter deserções de prefeitos e vereadores em São Paulo	nation
341	Defesa de presidente pela AGU provoca polêmica no meio jurídico	nation
342	Em inquérito sobre Aécio, Gilmar pede documentos da CPI dos Correios	nation
343	Polícia escolta Aécio Neves após ameaça de atentado	nation
344	Amigo de criança morta por policiais entra para programa de proteção	nation
345	Haddad diz que é incoerente cobrar por uso das novas sacolinhas em SP	nation
346	Promotores denunciam Lula por ocultação de patrimônio em tríplex	nation
347	Corpo de mulher é encontrado dentro de mala, na região de Ribeirão Preto	nation
348	Programas sociais dependem do ajuste fiscal, diz ministro Levy	nation
349	Temer tenta abafar denúncia e dar ênfase às reformas	nation
350	Mega-Sena acumula e pode pagar prêmio R$ 55 mi no próximo sorteio	nation
351	Em balanço do ano, Temer ignora denúncias e quedas de ministros	nation
352	Com entrada de Lula, Dilma cede e planeja reforma ministerial	nation
353	Em resposta a Lula, Temer diz que por ser especialista sabe que não há golpe	nation
354	Anvisa dá aval a Butantan para última fase de testes da vacina contra dengue	nation
355	Policiais civis continuam em greve e PMs programam protestos no RS	nation
356	Caso de bar fechado com dívida milionária acende alerta na campanha de Russomanno	nation
357	Presidente vai se reunir com Lula e Temer por reforma ministerial	nation
358	Planalto vai liberar novo limite de crédito a Estados, diz governador	nation
359	Eike nega pagamento de propina a Cunha e Funaro por recursos do FGTS	nation
360	Passageiros da Uber relatam de roubo a assédio por motoristas de aplicativo	nation
361	Folha sabatina Doria nesta quarta; confira calendário com pré-candidatos	nation
362	Jaques Wagner é hostilizado em restaurante de Brasília	nation
363	Servidores paulistas fazem ato contra projeto que impõe ajuste a Estados	nation
364	Olimpíada faz Rio asfaltar acesso à praia; morador teme 'pista de corrida'	nation
365	"Advogado da Vale diz que R$ 155 bi por tragédia em Mariana é ""irresponsável"""	nation
366	Amigo de Geddel, conselheiro se afasta de investigação de ministro	nation
367	Para Aécio, PT 'se rende ao óbvio' ao anunciar corte de ministérios	nation
368	Juiz Moro exigiu pedido de desculpas da Andrade Gutierrez	nation
369	Faixa de pedestres diagonal em SP deixa de ser azul e é pintada de verde	nation
370	Em Minas, gado nobre de citados em ações da PF é estrela de leilão VIP	nation
371	Leia novos trechos gravados por Machado com Renan, Sarney e Jucá	nation
372	Boneco de quatro metros é furtado na capital nacional do lobisomem, em SP	nation
373	Rui Falcão ignora candidata do PT na Câmara e apoia indicado do PMDB	nation
374	Campanha de Cunha aluga bar de hotel para seduzir deputados	nation
375	Corpo de dom Paulo Evaristo Arns será velado e enterrado na Sé	nation
376	Centros educacionais da periferia têm disputa de paternidade e são replicados em cidades vizinhas	nation
377	Tribunal nega pedido de habeas corpus preventivo ao ex-ministro José Dirceu	nation
378	Após falha em sistema, EUA alertam para atraso na emissão de vistos	nation
379	Eleição em São Paulo é determinante para 2018	nation
380	Corujão da Cirurgia será realizado em 4 fases e não terá hospitais privados	nation
381	Defesa Civil prevê volta da água em Colatina (ES) até sexta-feira	nation
382	Gíria da malandragem, pixuleco agora vira sinônimo de propina	nation
383	Mortes: Boa cozinheira, preparava pizzas disputadas	nation
384	Haddad fecha viaduto do Chá para carros; motoristas reclamam	nation
385	Rua onde caiu avião tem casa em ruínas e cheiro de querosene	nation
386	VLT pago começa com atraso e interrupção de circulação no Rio	nation
387	Haddad volta a dizer que fechamento da Paulista tem respaldo em lei federal	nation
388	Hoje com atuação afinada, Temer e Cunha exibem estilos opostos	nation
389	Taxistas agridem passageiros do Uber em São Paulo	nation
390	Preso, ex-comandante de UPP diz que o tráfico armou sumiço de Amarildo	nation
391	Níveis do Cantareira e Alto Tietê ficam estáveis nesta quarta	nation
392	Em ritmo lento, CPI do Carf aprova convite a secretário da Receita Federal	nation
393	Moro ironiza João Santana ao negar acesso a investigação	nation
394	Redução da idade penal passa na Câmara e segue para o Senado	nation
395	Presidente da Sabesp quer acordo social por tarifa de água mais cara	nation
396	Fiz 'brincadeira com intenção de elogio' a Kátia Abreu, diz Serra	nation
397	Após incêndio, favela é reconstruída com placas do monotrilho	nation
398	Guerra entre facções mata nove no AC, diz secretário de Segurança Pública	nation
399	Clientes da Unimed Paulistana terão mais 60 dias para fazer portabilidade	nation
400	Estudante ferido durante protesto em SP recebe visita de Eduardo Suplicy	nation
401	Tiroteio na favela da Mangueira, zona norte do Rio, deixa um morto	nation
402	Pezão não aparece em evento com Janot no Rio	nation
403	Para Doria, votação pró-Temer ajuda a 'serenar' a política brasileira	nation
404	Temer se esquiva de perguntas de Cunha em processo da Lava Jato	nation
